unequal |1. Not equal; not matched; not of the same size, length, breadth, quantity, strength, talents, acquirements, age, station, or the like; as, the fingers are of unequal length; peers and commoners are unequal in rank. 2. Ill balanced or matched; disproportioned; hence, not equitable; partial; unjust; unfair. Against unequal arms to fight in pain. Milton. Jerome, a very unequal relator of the opinion of his adversaries. John Worthington. To punish me for what you make me do Seems much unequal. Shak. 3. Not uniform; not equable; irregular; uneven; as, unequal pulsations; an unequal poem. 4. Not adequate or sufficient; inferior; as, the man was unequal to the emergency; the timber was unequal to the sudden strain. 5. (Bot.)  Not having the two sides or the parts symmetrical.
unequalable |Not capable of being equaled or paralleled. [Obs.] Boyle.
unequaled |Not equaled; unmatched; unparalleled; unrivaled; exceeding; surpassing; -- in a good or bad sense; as, unequaled excellence; unequaled ingratitude or baseness. [Written also unequalled.]
unequally |In an unequal manner. Unequally pinnate (Bot.), pinnate, but with an odd number of leaflets.
unequalness |The quality or state of being unequal; inequality; unevenness. Jer. Taylor.
unequitable |Inequitable.
unequity |Want of equity or uprightness; injustice; wickedness; iniquity. [Obs.] Wyclif.
unequivocal |Not equivocal; not doubtful; not ambiguous; evident; sincere; plain; as, unequivocal evidence; unequivocal words. -- Un`e*quiv\"o*cal*ly, adv. -- Un`e*quiv\"o*cal*ness, n.
unerring |Committing no mistake; incapable or error or failure certain; sure; unfailing; as, the unerring wisdom of God. Hissing in air the unerring weapon flew. Dryden.
unerringly |In an unerring manner.
unessential |1. Not essential; not of prime importance; not indispensable; unimportant. Addison. 2. Void of essence, or real being. [R.] Milton.\n\nSomething not constituting essence, or something which is not of absolute necessity; as, forms are among the unessentials of religion.
unessentially |In an unessential manner.
unestablish |To disestablish. [R.] The Parliament demanded of the king to unestablish that prelatical government. Milton.
uneth |With difficulty; scarcely. See Uneath. [Written also unethe, unneth, unnethe, unnethes, etc.] [Obs.] Chaucer.
unethes |With difficulty; scarcely. See Uneath. [Written also unethe, unneth, unnethe, unnethes, etc.] [Obs.] Chaucer.
uneven |1. Not even; not level; not uniform; rough; as, an uneven road or way; uneven ground. 2. Not equal; not of equal length. Hebrew verse consists of uneven feet. Peacham. 3. Not divisible by two without a remainder; odd; -- said of numbers; as, 3, 7, and 11 are uneven numbers. Un*e\"ven*ly, adv. -- Un*e\"ven*ness, n.
unevitable |Inevitable. [Obs.]
unexact |Not exact; inexact.
unexampled |Having no example or similar case; being without precedent; unprecedented; unparalleled. \"A revolution . . . unexampled for grandeur of results.\" De Quincey.
unexceptionable |Not liable to any exception or objection; unobjectionable; faultless; good; excellent; as, a man of most unexceptionable character. -- Un`ex*cep\"tion*a*ble*ness, n. -- Un`ex*cep\"tion*a*bly, adv. Chesterfield is an unexceptionable witness. Macaulay.
unexceptive |Not exceptive; not including, admitting, or being, an exception.
