scurvy |1. Covered or affected with scurf or scabs; scabby; scurfy; specifically, diseased with the scurvy. \"Whatsoever man . . . be scurvy or scabbed.\" lev. xxi. 18, 20. 2. Vile; mean; low; vulgar; contemptible. \"A scurvy trick.\" Ld. Lytton. That scurvy custom of taking tobacco. Swift. [He] spoke spoke such scurvy and provoking terms. Shak.\n\nA disease characterized by livid spots, especially about the thighs and legs, due to extravasation of blood, and by spongy gums, and bleeding from almost all the mucous membranes. It is accompanied by paleness, languor, depression, and general debility. It is occasioned by confinement, innutritious food, and hard labor, but especially by lack of fresh vegetable food, or confinement for a long time to a limited range of food, which is incapable of repairing the waste of the system. It was formerly prevalent among sailors and soldiers. Scurvy grass Etym: [Scurvy + grass; or cf. Icel. skarfakal scurvy grass.] (Bot.) A kind of cress (Cochlearia officinalis) growing along the seacoast of Northern Europe and in arctic regions. It is a remedy for the scurvy, and has proved a valuable food to arctic explorers. The name is given also to other allied species of plants.
scut |The tail of a hare, or of a deer, or other animal whose tail is short, sp. when carried erect; hence, sometimes, the animal itself. \"He ran like a scut.\" Skelton. How the Indian hare came to have a long tail, wheras that part in others attains no higher than a scut. Sir T. Browne. My doe with the black scut. Shak.
scuta |See Scutum.
scutage |Shield money; commutation of service for a sum of money. See Escuage.
scutal |Of or pertaining to a shield. A good example of these scutal monstrosities. Cussans.
scutate |1. Buckler-shaped; round or nearly round. 2. (Zoöl.)  Protected or covered by bony or horny plates, or large scales.
scutch |1. To beat or whip; to drub. [Old or Prov. Eng. & Scot.] 2. To separate the woody fiber from (flax, hemp, etc.) by beating; to swingle. 3. To loosen and dress the fiber of (cotton or silk) by beating; to free (fibrous substances) from dust by beating and blowing. Scutching machine, a machine used to scutch cotton, silk, or flax; -- called also batting machine.\n\n1. A wooden instrument used in scutching flax and hemp. 2. The woody fiber of flax; the refuse of scutched flax. \"The smoke of the burning scutch.\" Cuthbert Bede.
scutch grass |A kind of pasture grass (Cynodon Dactylon). See Bermuda grass: also Illustration in Appendix.
scutcheon |1. An escutcheon; an emblazoned shield. Bacon. The corpse lay in state, with all the pomp of scutcheons, wax lights, black hangings, and mutes. Macaulay. 2. A small plate of metal, as the shield around a keyhole. See Escutcheon, 4.
scutcheoned |Emblazoned on or as a shield. Scutcheoned panes in cloisters old. Lowell.
scutcher |1. One who scutches. 2. An implement or machine for scutching hemp, flax, or cotton; etc.; a scutch; a scutching machine.
scute |1. A small shield. [Obs.] Skelton. 2. An old French gold coin of the value of 3s. 4d. sterling, or about 80 cents. 3. (Zoöl.)  A bony scale of a reptile or fish; a large horny scale on the leg of a bird, or on the belly of a snake.
scutella |See Scutellum.\n\nSee Scutellum, n., 2.
scutellate |1. (Zoöl.)  Formed like a plate or salver; composed of platelike surfaces; as, the scutellated bone of a sturgeon. Woodward. 2. Etym: [See Scutellum.] (Zoöl.)  Having the tarsi covered with broad transverse scales, or scutella; -- said of certain birds.
scutellated |1. (Zoöl.)  Formed like a plate or salver; composed of platelike surfaces; as, the scutellated bone of a sturgeon. Woodward. 2. Etym: [See Scutellum.] (Zoöl.)  Having the tarsi covered with broad transverse scales, or scutella; -- said of certain birds.
scutellation |the entire covering, or mode of arrangement, of scales, as on the legs and feet of a bird.
scutelliform |1. Scutellate. 2. (Bot.)  Having the form of a scutellum.
scutelliplantar |Having broad scutella on the front, and small scales on the posterior side, of the tarsus; -- said of certain birds.
scutellum |1. (Bot.)  A rounded apothecium having an elevated rim formed of the proper thallus, the fructification of certain lichens. 2. (Zoöl.) (a) The third of the four pieces forming the upper part of a thoracic segment of an insect. It follows the scutum, and is followed by the small postscutellum; a scutella. See Thorax. (b) One of the transverse scales on the tarsi and toes of birds; a scutella.
scutibranch |Scutibranchiate. -- n.  One of the Scutibranchiata.
scutibranchia |Same as Scutibranchiata.
scutibranchian |One of the Scutibranchiata.
scutibranchiata |An order of gastropod Mollusca having a heart with two auricles and one ventricle. The shell may be either spiral or shieldlike. Note: It is now usually regarded as including only the Rhipidoglossa and the Docoglossa. When originally established, it included a heterogenous group of mollusks having shieldlike shells, such as Haliotis, Fissurella, Carinaria, etc.
scutibranchiate |Having the gills protected by a shieldlike shell; of or pertaining to the Scutibranchiata. -- n.  One of the Scutibranchiata.
scutiferous |Carrying a shield or buckler.
scutiform |Shield-shaped; scutate.
scutiger |Any species of chilopod myriapods of the genus Scutigera. They sometimes enter buildings and prey upon insects.
scutiped |Having the anterior surface of the tarsus covered with scutella, or transverse scales, in the form of incomplete bands terminating at a groove on each side; -- said of certain birds.
scutter |To run quickly; to scurry; to scuttle. [Prov. Eng.] A mangy little jackal . . . cocked up his ears and tail, and scuttered across the shallows. Kipling.
scuttle |1. A broad, shallow basket. 2. A wide-mouthed vessel for holding coal: a coal hod.\n\nTo run with affected precipitation; to hurry; to bustle; to scuddle. With the first dawn of day, old Janet was scuttling about the house to wake the baron. Sir W. Scott.\n\nA quick pace; a short run. Spectator.\n\n1. A small opening in an outside wall or covering, furnished with a lid. Specifically: (a) (Naut.) A small opening or hatchway in the deck of a ship, large enough to admit a man, and with a lid for covering it, also, a like hole in the side or bottom of a ship. (b) An opening in the roof of a house, with a lid. 2. The lid or door which covers or closes an opening in a roof, wall, or the like. Scuttle butt, or Scuttle cask (Naut.), a butt or cask with a large hole in it, used to contain the fresh water for daily use in a ship. Totten.\n\n1. To cut a hole or holes through the bottom, deck, or sides of (as of a ship), for any purpose. 2. To sink by making holes through the bottom of; as, to scuttle a ship.
scutum |1. (Rom. Antiq.)  An oblong shield made of boards or wickerwork covered with leather, with sometimes an iron rim; -- carried chiefly by the heavy- armed infantry. 2. (O. Eng. Law)  A penthouse or awning. [Obs.] Burrill. 3. (Zoöl.) (a) The second and largest of the four parts forming the upper surface of a thoracic segment of an insect. It is preceded by the prescutum and followed by the scutellum. See the Illust. under Thorax. (b) One of the two lower valves of the operculum of a barnacle.
scybala |Hardened masses of feces.
scye |Arm scye, a cutter's term for the armhole or part of the armhole of the waist of a garnment. [Cant]
scyle |To hide; to secrete; to conceal. [Obs.]
scylla |A dangerous rock on the Italian coast opposite the whirpool Charybdis on the coast of Sicily, -- both personified in classical literature as ravenous monsters. The passage between them was formerly considered perilous; hence, the saying \"Between Scylla and Charybdis,\" signifying a great peril on either hand.
scyllaea |A genus of oceanic nudibranchiate mollusks having the small branched gills situated on the upper side of four fleshy lateral lobes, and on the median caudal crest. Note: In color and form these mollusks closely imitate the fronds of sargassum and other floathing seaweeds among which they live.
scyllarian |One of a family (Scyllaridæ) of macruran Crustacea, remarkable for the depressed form of the body, and the broad, flat antennæ. Also used adjectively.
scyllite |A white crystalline substance of a sweetish taste, resembling inosite and metameric with dextrose. It is extracted from the kidney of the dogfish (of the genus Scylium), the shark, and the skate.
scymetar |See Scimiter.
scypha |See Scyphus, 2 (b).
scyphiform |Cup-shaped.
scyphistoma |The young attached larva of Discophora in the stage when it resembles a hydroid, or actinian.
scyphobranchii |An order of fishes including the blennioid and gobioid fishes, and other related families.
scyphomedusa |Same as Acraspeda, or Discophora.
scyphomedusae |Same as Acraspeda, or Discophora.
scyphophori |An order of fresh-water fishes inhabiting tropical Africa. They have rudimentary electrical organs on each side of the tail.
scyphus |1. (Antiq.)  A kind of large drinking cup, -- used by Greeks and Romans, esp. by poor folk. 2. (Bot.) (a) The cup of a narcissus, or a similar appendage to the corolla in other flowers. (b) A cup-shaped stem or podetium in lichens. Also called scypha. See Illust. of Cladonia pyxidata, under Lichen.
