eighth |1. Next in order after the seventh. 2. Consisting of one of eight equal divisions of a thing. Eighth note (Mus.), the eighth part of a whole note, or semibreve; a quaver.\n\n1. The quotient of a unit divided by eight; one of eight equal parts; an eighth part. 2. (Mus.)  The interval of an octave.
eighthly |As the eighth in order.
eightieth |1. The next in order after seventy-ninth. 2. Consisting of one of eighty equal parts or divisions.\n\nThe quotient of a unit divided by eighty; one of eighty equal parts.
eightling |A compound or twin crystal made up of eight individuals.
eightscore |Eight times twenty; a hundred and sixty.
eighty |Eight times ten; fourscore.\n\n1. The sum of eight times ten; eighty units or objects. 2. A symbol representing eighty units, or ten eight times repeated, as 80 or lxxx.
eigne |1. (Law)  Eldest; firstborn. Blackstone. 2. Entailed; belonging to the eldest son. [Obs.] Bastard eigne, a bastard eldest son whose parents afterwards intermarry.
eiking |See Eking.
eikon |An image or effigy; -- used rather in an abstract sense, and rarely for a work of art.
eikonogen |The sodium salt of a sulphonic acid of a naphthol, C10H5(OH)(NH2)SO3Na used as a developer.
eikosane |A solid hydrocarbon, C20H42, of the paraffine series, of artificial production, and also probably occurring in petroleum.
eikosylene |A liquid hydrocarbon, C20H38, of the acetylene series, obtained from brown coal.
eild |Age. [Obs.] Fairfax.
eire |Air. [Obs.] Chaucer.
eirenarch |A justice of the peace; irenarch.
eirenic |Pacific. See Irenic.
eirie |See Aerie, and Eyrie.
eisel |Vinegar; verjuice. [Obs.] Sir T. More.
eisteddfod |Am assembly or session of the Welsh bards; an annual congress of bards, minstrels and literati of Wales, -- being a patriotic revival of the old custom.
either |1. One of two; the one or the other; -- properly used of two things, but sometimes of a larger number, for any one. Lepidus flatters both, Of both is flattered; but he neither loves, Nor either cares for him. Shak. Scarce a palm of ground could be gotten by either of the three. Bacon. There have been three talkers in Great British, either of whom would illustrate what I say about dogmatists. Holmes. 2. Each of two; the one and the other; both; -- formerly, also, each of any number. His flowing hair In curls on either cheek played. Milton. On either side . . . was there the tree of life. Rev. xxii. 2. The extreme right and left of either army never engaged. Jowett (Thucyd).\n\nprecedes two, or more, coördinate words or phrases, and is introductory to an alternative. It is correlative to or. Either he is talking, or he is pursuing, or he is in a journey, or peradventure he sleepeth. 1 Kings xviii. 27. Few writers hesitate to use either in what is called a triple alternative; such as, We must either stay where we are, proceed, or recede. Latham. Note: Either was formerly sometimes used without any correlation, and where we should now use or. Can the fig tree, my brethren, bear olive berries either a vine, figs James iii. 12.
ejaculate |1. To throw out suddenly and swiftly, as if a dart; to dart; to eject. [Archaic or Technical] Its active rays ejaculated thence. Blackmore. 2. To throw out, as an exclamation; to utter by a brief and sudden impulse; as, to ejaculate a prayer.\n\nTo utter ejaculations; to make short and hasty exclamations. [R.] \"Ejaculating to himself.\" Sir W. Scott.
ejaculation |1. The act of throwing or darting out with a sudden force and rapid flight. [Archaic or Technical] \"An ejaculation or irradiation of the eye.\" Bacon. 2. The uttering of a short, sudden exclamation or prayer, or the exclamation or prayer uttered. In your dressing, let there be jaculations fitted to the several actions of dressing. Jer. Taylor. 3. (Physiol.)  The act of ejecting or suddenly throwing, as a fluid from a duct.
ejaculator |A muscle which helps ejaculation.
ejaculatory |1. Casting or throwing out; fitted to eject; as, ejaculatory vessels. 2. Suddenly darted out; uttered in short sentences; as, an ejaculatory prayer or petition. 3. Sudden; hasty. [Obs.] \"Ejaculatory repentances, that take us by fits and starts.\" L'Estrange.
eject |1. To expel; to dismiss; to cast forth; to thrust or drive out; to discharge; as, to eject a person from a room; to eject a traitor from the country; to eject words from the language. \"Eyes ejecting flame.\" H. Brooke. 2. (Law)  To cast out; to evict; to dispossess; as, to eject tenants from an estate. Syn. -- To expel; banish; drive out; discharge; oust; evict; dislodge; extrude; void.
ejecta |Matter ejected; material thrown out; as, the ejecta of a volcano; the ejecta, or excreta, of the body.
ejection |1. The act of ejecting or casting out; discharge; expulsion; evacuation. \"Vast ejection of ashes.\" Eustace. \"The ejection of a word.\" Johnson. 2. (Physiol.)  The act or process of discharging anything from the body, particularly the excretions. 3. The state of being ejected or cast out; dispossession; banishment.
ejectment |1. A casting out; a dispossession; an expulsion; ejection; as, the ejectment of tenants from their homes. 2. (Law)  A species of mixed action, which lies for the recovery of possession of real property, and damages and costs for the wrongful withholding of it. Wharton.
ejector |1. One who, or that which, ejects or dispossesses. 2. (Mech.)  A jet jump for lifting water or withdrawing air from a space. Ejector condenser (Steam Engine), a condenser in which the vacuum is maintained by a jet pump.
ejoo |Gomuti fiber. See Gomuti.
ejulation |A wailing; lamentation. [Obs.] \"Ejulation in the pangs of death.\" Philips.
ekabor |The name given by Mendelejeff in accordance with the periodic law, and by prediction, to a hypothetical element then unknown, but since discovered and named scandium; -- so called because it was a missing analogue of the boron group. See Scandium.
ekaboron |The name given by Mendelejeff in accordance with the periodic law, and by prediction, to a hypothetical element then unknown, but since discovered and named scandium; -- so called because it was a missing analogue of the boron group. See Scandium.
ekaluminium |The name given to a hypothetical element, -- later discovered and called gallium. See Gallium, and cf. Ekabor.
ekasilicon |The name of a hypothetical element predicted and afterwards discovered and named germanium; -- so called because it was a missing analogue of the silicon group. See Germanium, and cf. Ekkabor.
eke |To increase; to add to; to augment; -- now commonly used with out, the notion conveyed being to add to, or piece out by a laborious, inferior, or scanty addition; as, to eke out a scanty supply of one kind with some other. \"To eke my pain.\" Spenser. He eked out by his wits an income of barely fifty pounds. Macaulay.\n\nIn addition; also; likewise. [Obs. or Archaic] 'T will be prodigious hard to prove That this is eke the throne of love. Prior. A trainband captain eke was he Of famous London town. Cowper. Note: Eke serves less to unite than to render prominent a subjoined more important sentence or notion. Mätzner.\n\nAn addition. [R.] Clumsy ekes that may well be spared. Geddes.
ekebergite |A variety of scapolite.
ekename |An additional or epithet name; a nickname. [Obs.]
eking |(a) A lengthening or filling piece to make good a deficiency in length. (b) The carved work under the quarter piece at the aft part of the quarter gallery. [Written also eiking.]
el dorado |1. A name given by the Spaniards in the 16th century to an imaginary country in the interior of South America, reputed to abound in gold and precious stones. 2. Any region of fabulous wealth; exceeding richness. The whole comedy is a sort of El Dorado of wit. T. Moore.
elaborate |Wrought with labor; finished with great care; studied; executed with exactness or painstaking; as, an elaborate discourse; an elaborate performance; elaborate research. Drawn to the life in each elaborate page. Waller. Syn. -- Labored; complicated; studied; perfected; high-wrought. -- E*lab\"o*rate*ly, adv. -- E*lab\"o*rate*ness, n.\n\n1. To produce with labor They in full joy elaborate a sigh, Young. 2. To perfect with painstaking; to improve or refine with labor and study, or by successive operations; as, to elaborate a painting or a literary work. The sap is . . . still more elaborated and exalted as it circulates through the vessels of the plant. Arbuthnot.
elaborated |developed or executed with care and in minute detail; as, the carefully elaborated theme. Syn. -- detailed, elaborate. [WordNet 1.5]
elaboration |1. The act or process of producing or refining with labor; improvement by successive operations; refinement. 2. (Physiol.)  The natural process of formation or assimilation, performed by the living organs in animals and vegetables, by which a crude substance is changed into something of a higher order; as, the elaboration of food into chyme; the elaboration of chyle, or sap, or tissues.
elaborative |Serving or tending to elaborate; constructing with labor and minute attention to details. Elaborative faculty (Metaph.), the intellectual power of discerning relations and of viewing objects by means of, or in, relations; the discursive faculty; thought.
elaborator |One who, or that which, elaborates.
elaboratory |Tending to elaborate.\n\nA laboratory. [Obs.]
elaeagnus |A genus of shrubs or small trees, having the foliage covered with small silvery scales; oleaster.
elaeis |A genus of palms. Note: Elæis Guineensis, the African oil palm, is a tree twenty or thirty feet high, with immense pinnate leaves and large masses of fruit. The berries are rather larger than olives, and when boiled in water yield the orange-red palm oil.
elaeolite |A variety of hephelite, usually massive, of greasy luster, and gray to reddish color. Elæolite syenite, a kind of syenite characterized by the presence of elæolite.
elaeoptene |The more liquid or volatile portion of certain oily substance, as distinguished from stearoptene, the more solid parts. [Written also elaoptene.]
elaidate |A salt of elaidic acid.
elaidic |Relating to oleic acid, or elaine. Elaidic acid (Chem.), a fatty acid isomeric with oleic acid, and obtained from it by the action of nitrous acid.
elaidin |A solid isomeric modification of olein.
elain |Same as Olein.
elaine |Same as Olein.
elaiodic |Derived from castor oil; ricinoleic; as, elaiodic acid. [R.]
elaiometer |An apparatus for determining the amount of oil contained in any substance, or for ascertaining the degree of purity of oil.
elamite |A dweller in Flam (or Susiana), an ancient kingdom of Southwestern Asia, afterwards a province of Persia.
elamping |Shining. [Obs.] G. Fletcher.
elan |Ardor inspired by passion or enthusiasm.
elance |To throw as a lance; to hurl; to dart. [R.] While thy unerring hand elanced . . . a dart. Prior.
eland |1. (Zoöl.)  A species of large South African antelope (Oreas canna). It is valued both for its hide and flesh, and is rapidly disappearing in the settled districts; -- called also Cape elk. 2. (Zoöl.)  The elk or moose.
elanet |A kite of the genus Elanus.
elaolite |See Elæolite.
elaoptene |See Elæoptene.
elaphine |Pertaining to, resembling, or characteristic of, the stag, or Cervus elaphus.
elaphure |A species of deer (Elaphurus Davidianus) found in china. It about four feet high at the shoulder and has peculiar antlers.
elapidation |A clearing away of stones. [R.]
elapine |Like or pertaining to the Elapidæ, a family of poisonous serpents, including the cobras. See Ophidia.
elaps |A genus of venomous snakes found both in America and the Old World. Many species are known. See Coral snake, under Coral.
elapse |To slip or glide away; to pass away silently, as time; -- used chiefly in reference to time. Eight days elapsed; at length a pilgrim came. Hoole.
elapsion |The act of elapsing. [R.]
elaqueate |To disentangle. [R.]
elasipoda |An order of holothurians mostly found in the deep sea. They are remarkable for their bilateral symmetry and curious forms. [Written also Elasmopoda.]
elasmobranch |Of or pertaining to the Elasmobranchii. -- n.  One of the Elasmobranchii.
elasmobranchiate |Of or pertaining to Elasmobranchii. -- n.  One of the Elasmobranchii.
elasmobranchii |A subclass of fishes, comprising the sharks, the rays, and the Chimæra. The skeleton is mainly cartilaginous.
elasmosaurus |An extinct, long-necked, marine, cretaceous reptile from Kansas, allied to Plesiosaurus.
elastic |1. Springing back; having a power or inherent property of returning to the form from which a substance is bent, drawn, pressed, or twisted; springy; having the power of rebounding; as, a bow is elastic; the air is elastic; India rubber is elastic. Capable of being drawn out by force like a piece of elastic gum, and by its own elasticity returning, when the force is removed, to its former position. Paley. 2. Able to return quickly to a former state or condition, after being depressed or overtaxed; having power to recover easily from shocks and trials; as, elastic spirits; an elastic constitution. Elastic bitumen. (Min.) See Elaterite. -- Elastic curve. (a) (Geom.) The curve made by a thin elastic rod fixed horizontally at one end and loaded at the other. (b) (Mech.) The figure assumed by the longitudinal axis of an originally straight bar under any system of bending forces. Rankine. -- Elastic fluids, those which have the property of expanding in all directions on the removal of external pressure, as the air, steam, and other gases and vapors. -- Elastic limit (Mech.), the limit of distortion, by bending, stretching, etc., that a body can undergo and yet return to its original form when relieved from stress; also, the unit force or stress required to produce this distortion. Within the elastic limit the distortion is directly proportional to the stress producing it. -- Elastic tissue (Anat.), a variety of connective tissue consisting of a network of slender and very elastic fibers which are but slightly affected by acids or alkalies. -- Gum elastic, caoutchouc.\n\nAn elastic woven fabric, as a belt, braces or suspenders, etc., made in part of India rubber. [Colloq.]
elastical |Elastic. [R.] Bentley.
elastically |In an elastic manner; by an elastic power; with a spring.
elasticity |1. The quality of being elastic; the inherent property in bodies by which they recover their former figure or dimensions, after the removal of external pressure or altering force; springiness; tendency to rebound; as, the elasticity of caoutchouc; the elasticity of the air. 2. Power of resistance to, or recovery from, depression or overwork. Coefficient of elasticity, the quotient of a stress (of a given kind), by the strain (of a given kind) which it produces; -- called also coefficient of resistance. -- Surface of elasticity (Geom.), the pedal surface of an ellipsoid (see Pedal); a surface used in explaining the phenomena of double refraction and their relation to the elastic force of the luminous ether in crystalline media.
elasticness |The quality of being elastic; elasticity.
elastin |A nitrogenous substance, somewhat resembling albumin, which forms the chemical basis of elastic tissue. It is very insoluble in most fluids, but is gradually dissolved when digested with either pepsin or trypsin.
