jelerang |A large, handsome squirrel (Sciurus Javensis), native of Java and Southern Asia; -- called also Java squirrel.
jell |To jelly. [Colloq.]
jellied |Brought to the state or consistence of jelly.
jellify |To make, or to become, gelatinous; to jelly. -- Jel`li*fi*ca\"tion (#), n.
jelly |1. Anything brought to a gelatinous condition; a viscous, translucent substance in a condition between liquid and solid; a stiffened solution of gelatin, gum, or the like. 2. The juice of fruits or meats boiled with sugar to an elastic consistence; as, currant jelly; calf's-foot jelly. Jelly bag, a bag through which the material for jelly is strained. -- Jelly mold, a mold for forming jelly in ornamental shapes. -- Jelly plant (Bot.), Australian name of an edible seaweed (Eucheuma speciosum), from which an excellent jelly is made. J. Smith. -- Jelly powder, an explosive, composed of nitroglycerin and collodion cotton; -- so called from its resemblance to calf's-foot jelly.\n\nTo become jelly; to come to the state or consistency of jelly.
jellyfish |Any one of the acalephs, esp. one of the larger species, having a jellylike appearance. See Medusa.
jemidar |The chief or leader of a hand or body of persons; esp., in the native army of India, an officer of a rank corresponding to that of lieutenant in the English army. [Written also jemadar, jamadar.]
jemlah goat |The jharal.
jemminess |Spruceness. [Slang, Eng.] Pegge (1814).
jemmy |Spruce. [Slang, Eng.] Smart.\n\n1. A short crowbar. See Jimmy. 2. A baked sheep's head. [Slang, Eng.] Dickens.
jeniquen |A Mexican name for the Sisal hemp (Agave rigida, var. Sisalana); also, its fiber. [Written also heniequen.]
jenite |See Yenite.
jenkins |name of contempt for a flatterer of persons high in social or official life; as, the Jenkins employed by a newspaper. [Colloq. Eng. & U.S.] G. W. Curtis.
jennet |A small Spanish horse; a genet.
jenneting |A variety of early apple. See Juneating. [Written also geniting.]
jenny |1. A familiar or pet form of the proper name Jane. 2. (Zoöl.)  A familiar name of the European wren. Jenny ass (Zoöl.), a female ass.\n\nA machine for spinning a number of threads at once, -- used in factories.
jentling |A fish of the genus Leuciscus; the blue chub of the Danube.
jeofail |An oversight in pleading, or the acknowledgment of a mistake or oversight. Blackstone.
jeopard |To put in jeopardy; to expose to loss or injury; to imperil; to hazard. Sir T. North. A people that jeoparded their lives unto the death. Judg. v. 18. Syn. -- To hazard; risk; imperil; endanger; expose.
jeoparder |One who puts in jeopardy. [R.]
jeopardize |To expose to loss or injury; to risk; to jeopard. That he should jeopardize his willful head Only for spite at me. H. Taylor.
jeopardous |Perilous; hazardous. His goodly, valiant, and jeopardous enterprise. Fuller. -- Jeop\"ard*ous*ly, adv. Huloet.
jeopardy |Exposure to death, loss, or injury; hazard; danger. There came down a storm of wind on the lake; and they were filled with water, and were in jeopardy. Luke viii. 23. Look to thyself, thou art in jeopardy. Shak. Syn. -- Danger; peril; hazard; risk. See Danger.\n\nTo jeopardize. [R.] Thackeray.
jequirity |The seed of the wild licorice (Abrus precatorius) used by the people of India for beads in rosaries and necklaces, as a standard weight, etc.; -- called also jumble bead.
jequirity bean |The seed of the wild licorice (Abrus precatorius) used by the people of India for beads in rosaries and necklaces, as a standard weight, etc.; -- called also jumble bead.
jerboa |Any small jumping rodent of the genus Dipus, esp. D. Ægyptius, which is common in Egypt and the adjacent countries. The jerboas have very long hind legs and a long tail. [Written also gerboa.] Note: The name is also applied to other small jumping rodents, as the Pedetes Caffer, of the Cape of Good Hope. Jerboa kangaroo (Zoöl.), small Australian kangaroo (Bettongia penicillata), about the size of a common hare.
jereed |A blunt javelin used by the people of the Levant, especially in mock fights. [Written also jerreed, jerid.] Byron.
jeremiad |A tale of sorrow, disappointment, or complaint; a doleful story; a dolorous tirade; -- generally used satirically. He has prolonged his complaint into an endless jeremiad. Lamb.
jeremiade |A tale of sorrow, disappointment, or complaint; a doleful story; a dolorous tirade; -- generally used satirically. He has prolonged his complaint into an endless jeremiad. Lamb.
jerfalcon |The gyrfalcon.
jerguer |See Jerquer.
jerid |Same as Jereed.
